FM_Name,Lat,Long,Region
4A Pond,43.46,-71.88,ne
Beaver Pond,43.11,-71.33,ne
Berry Pond,43.28,-71.3,ne
"Bresses Pond, VT",43.41,-73.02,ne
"Burr Pond, VT",43.54,-73.11,ne
"Colby Pond, VT",43.28,-72.4,ne
"Colton Pond, VT",43.41,-72.49,ne
Crooked Pond,43.29,-71.43,ne
Day Pond,43.22,-71.88,ne
"Dewey Pond, VT",43.3,-71.5,ne
"Ewell Pond, VT",44.21,-72.09,ne
"Fosters Pond, VT",44.19,-72.12,ne
Fresses Pond,43.16,-71.24,ne
George's Pond,43.58,-72.1,ne
Hoit Rd. Marsh,43.29,-71.53,ne
"Hough Pond, VT",43.47,-73.1,ne
"Keiser Pond, VT",44.23,-72.1,ne
"Kent Pond, VT",43.4,-72.48,ne
"Lake Ninevah, VT",43.28,-72.45,ne
"Lake Tarleton, NH",43.58,-71.57,ne
Lake Winnepocket,43.3,-71.73,ne
"Lower Baker Pond I, NH",43.53,-71.58,ne
"Lower Baker Pond II, NH",43.53,-71.58,ne
"Lower Symes Pond, VT",44.14,-72.06,ne
"Martin's Pond, VT",44.18,-72.12,ne
May Pond,43.23,-72.11,ne
McDaniel's Marsh,43.53,-72.08,ne
Mill Pond,43.23,-72.1,ne
"Post Pond, NH",43.83,-72.15,ne
"Roach Pond, VT",43.43,-73.13,ne
Rollins Pond,43.37,-71.37,ne
Russell Pond,43.3,-71.94,ne
Rye Pond,43.02,-72.06,ne
Sanborn Pond,43.34,-71.4,ne
Spectacle Pond,43.44,-72.16,ne
Spruce Pond,43.11,-71.33,ne
Stocker Pond,43.48,-72.11,ne
"Ticklenaked Pond, VT",44.11,-72.06,ne
Walker Pond,43.31,-71.69,ne
BobbKiddLake,35.9722,-94.3581,sc
BoonevilleLake,35.1504,-94.0594,sc
CharlestonLake,35.2843,-94.0496,sc
CoveLake,35.2325,-93.6286,sc
CrystalLake,36.3436,-94.4432,sc
DarbyLake,35.2637,-94.0284,sc
EngineerLake,35.2788,-94.118,sc
GreenwoodLake,35.1867,-94.2421,sc
HorseheadLake,35.567,-93.6382,sc
LakeFayetteville,36.133,-94.1394,sc
LakeLeatherwood,36.4353,-93.7589,sc
LakeLincoln,35.9998,-94.4263,sc
LakePrairieGrove,35.937,-94.3383,sc
LakeSequoyah,36.0629,-94.0696,sc
LakeWedington,36.0937,-94.3707,sc
LakeWilson,35.9994,-94.1364,sc
LockAndDamPond,35.3461,-94.2992,sc
OzarkCityLake,35.5323,-93.8453,sc
ParisReservoir,35.2717,-93.7265,sc
SiloamSpringsLake,36.2229,-94.5393,sc
PalmatierLake,42.5732,-85.4378,nc
SpringLakeEast,43.9696,-87.8943,nc
LakeNopawan,44.14481,-89.15486,nc
SpringLake,43.68577,-89.16415,nc
PatrickLake,43.88422,-89.65495,nc
MissionLake,44.7796,-89.35411,nc
CodyLake,44.46054,-93.50258,nc
SpurzemLake,45.03837,-93.62132,nc
LuraLake,43.87211,-94.01022,nc
MollieLake,46.48087,-94.20497,nc
SpectacleLake,45.57476,-93.40361,nc
RockLake,46.63772,-93.39483,nc
PickerelLake,46.40489,-92.43228,nc
MudLake,45.30358,-92.46969,nc
DiamondLake,45.10697,-90.68133,nc
GreenLake,45.95228,-91.33546,nc
LoonLake,46.34953,-90.64301,nc
ClearwaterLake,46.26175,-89.41073,nc
LakeSaintKathryn,46.39257,-88.72522,nc
MargaretLake,45.71446,-89.1137,nc
WiscobeeLake,45.01915,-88.45792,nc
